Date,Solar Eclipse Intensity Type
1929-05-09,Total
1929-11-01,Annular
1930-04-28,Hybrid
1930-10-21,Total
1931-04-18,Partial
1931-09-12,Partial
1931-10-11,Partial
1932-03-07,Annular
1932-08-31,Total
1933-02-24,Annular
1933-08-21,Annular
1934-02-14,Total
1934-08-10,Annular
1935-01-05,Partial
1935-02-03,Partial
1935-06-30,Partial
1935-07-30,Partial
1935-12-25,Annular
1936-06-19,Total
1936-12-13,Annular
1937-06-08,Total
1937-12-02,Annular
1938-05-29,Total
1938-11-21,Partial
1939-04-19,Annular
1939-10-12,Total
1940-04-07,Annular
1940-10-01,Total
1941-03-27,Annular
1941-09-21,Total
1942-03-16,Partial
1942-08-12,Partial
1942-09-10,Partial
1943-02-04,Total
1943-08-01,Annular
1944-01-25,Total
1944-07-20,Annular
1945-01-14,Annular
1945-07-09,Total
1946-01-03,Partial
1946-05-30,Partial
1946-06-29,Partial
1946-11-23,Partial
1947-05-20,Total
1947-11-12,Annular
1948-05-09,Annular
1948-11-01,Total
1949-04-28,Partial
1949-10-21,Partial
1950-03-18,Annular
1950-09-12,Total
1951-03-07,Annular
1951-09-01,Annular
1952-02-25,Total
1952-08-20,Annular
1953-02-14,Partial
1953-07-11,Partial
1953-08-09,Partial
1954-01-05,Annular
1954-06-30,Total
1954-12-25,Annular
1955-06-20,Total
1955-12-14,Annular
1956-06-08,Total
1956-12-02,Partial
1957-04-30,Annular
1957-10-23,Total
1958-04-19,Annular
1958-10-12,Total
1959-04-08,Annular
1959-10-02,Total
1960-03-27,Partial
1960-09-20,Partial
1961-02-15,Total
1961-08-11,Annular
1962-02-05,Total
1962-07-31,Annular
1963-01-25,Annular
1963-07-20,Total
1964-01-14,Partial
1964-06-10,Partial
1964-07-09,Partial
1964-12-04,Partial
1965-05-30,Total
1965-11-23,Annular
1966-05-20,Annular
1966-11-12,Total
1967-05-09,Partial
1967-11-02,Total
1968-03-28,Partial
1968-09-22,Total
1969-03-18,Annular
1969-09-11,Annular
1970-03-07,Total
1970-08-31,Annular
1971-02-25,Partial
1971-07-22,Partial
1971-08-20,Partial
1972-01-16,Annular
1972-07-10,Total
1973-01-04,Annular
1973-06-30,Total
1973-12-24,Annular
1974-06-20,Total
1974-12-13,Partial
1975-05-11,Partial
1975-11-03,Partial
1976-04-29,Annular
1976-10-23,Total
1977-04-18,Annular
1977-10-12,Total
1978-04-07,Partial
1978-10-02,Partial
1979-02-26,Total
1979-08-22,Annular
1980-02-16,Total
1980-08-10,Annular
1981-02-04,Annular
1981-07-31,Total
1982-01-25,Partial
1982-06-21,Partial
1982-07-20,Partial
1982-12-15,Partial
1983-06-11,Total
1983-12-04,Annular
1984-05-30,Annular
1984-11-22,Total
1985-05-19,Partial
1985-11-12,Total
1986-04-09,Partial
1986-10-03,Hybrid
1987-03-29,Hybrid
1987-09-23,Annular
1988-03-18,Total
1988-09-11,Annular
1989-03-07,Partial
1989-08-31,Partial
1990-01-26,Annular
1990-07-22,Total
1991-01-15,Annular
1991-07-11,Total
1992-01-04,Annular
1992-06-30,Total
1992-12-24,Partial
1993-05-21,Partial
1993-11-13,Partial
1994-05-10,Annular
1994-11-03,Total
1995-04-29,Annular
1995-10-24,Total
1996-04-17,Partial
1996-10-12,Partial
1997-03-09,Total
1997-09-02,Partial
1998-02-26,Total
1998-08-22,Annular
1999-02-16,Annular
1999-08-11,Total
2000-02-05,Partial
2000-07-01,Partial
2000-07-31,Partial
2000-12-25,Partial
2001-06-21,Total
2001-12-14,Annular
2002-06-10,Annular
2002-12-04,Total
2003-05-31,Annular
2003-11-23,Total
2004-04-19,Partial
2004-10-14,Partial
2005-04-08,Hybrid
2005-10-03,Annular
2006-03-29,Total
2006-09-22,Annular
2007-03-19,Partial
2007-09-11,Partial
2008-02-07,Annular
2008-08-01,Total
2009-01-26,Annular
2009-07-22,Total
2010-01-15,Annular
2010-07-11,Total
2011-01-04,Partial
2011-06-01,Partial
2011-07-01,Partial
2011-11-25,Partial
2012-05-20,Annular
2012-11-13,Total
2013-05-10,Annular
2013-11-03,Hybrid
2014-04-29,Annular
2014-10-23,Partial
2015-03-20,Total
2015-09-13,Partial
2016-03-09,Total
2016-09-01,Annular
2017-02-26,Annular
2017-08-21,Total
2018-02-15,Partial
2018-07-13,Partial
2018-08-11,Partial
2019-01-06,Partial
2019-07-02,Total
2019-12-26,Annular
2020-06-21,Annular
2020-12-14,Total
2021-06-10,Annular
2021-12-04,Total
2022-04-30,Partial
2022-10-25,Partial
2023-04-20,Hybrid
2023-10-14,Annular
2024-04-08,Total
2024-10-02,Annular
2025-03-29,Partial
2025-09-21,Partial
2026-02-17,Annular
2026-08-12,Total
2027-02-06,Annular
2027-08-02,Total
2028-01-26,Annular
2028-07-22,Total
2029-01-14,Partial
2029-06-12,Partial
2029-07-11,Partial
2029-12-05,Partial
2030-06-01,Annular
2030-11-25,Total
